hospital_id,city,hospital_name,hospital_registry_type,operator_name,street,automatic_category,automatic_acute_relevance_weight,automatic_classification_reason,verified_category,verified_acute_relevance_weight,verification_status,source_type,source_url,review_notes,suggested_category,suggested_acute_relevance_weight,suggested_source_type,suggested_source_url,suggested_review_notes,suggestion_confidence
9111310,Bochum,Augusta-Kranken-Anstalt,Plankrankenhaus,Augusta-Kranken-Anstalt gGmbH,Bergstraße 26,unknown_needs_review,0.5,No clear automatic rule matched.,general_or_acute_care,1.0,verified,official_hospital_website,https://www.augusta-kliniken.de/Zentrale-Notaufnahme-Bochum.html,"Manual verification 2026-06-03: official Augusta ZNA page lists Augusta-Kranken-Anstalt Bochum-Mitte with 00:00-24:00 emergency department, extended emergency care level II, and broad acute specialties; classified general_or_acute_care.",,,,,,
9111303,Bochum,Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil Bochum gGmbH,Hochschulklinik/Universitätsklinikum,Berufsgenossenschaftliches Universitätsklinikum Bergmannsheil gGmbH,Bürkle de la Camp-Platz 1,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bochum,Suggested by deterministic general/acute-care keyword: matched 'universitatsklinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9111307,Bochum,Katholisches Klinikum Bochum,Hochschulklinik/Universitätsklinikum,Katholisches Klinikum Bochum gGmbH,Gudrunstraße 56,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bochum,Suggested by deterministic general/acute-care keyword: matched 'klinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9111301,Bochum,LWL-Universitätsklinikum Bochum der Ruhr-Universität Bochum,Hochschulklinik/Universitätsklinikum,Landschaftsverband Westfalen-Lippe (LWL),Alexandrinenstr. 1,psychiatric_psychosomatic,0.0,Psychiatric/psychosomatic or LVR/LWL provider detected.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bochum,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'lwl' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9111304,Bochum,Universitätsklinikum'Knappschaftskrankenhaus Bochum-Langendreer,Hochschulklinik/Universitätsklinikum,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH,In der Schornau 23-25,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bochum,Suggested by deterministic general/acute-care keyword: matched 'universitatsklinikum' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9111305,Bochum,Valeara KJP Bochum GmbH,Plankrankenhaus,Valeara KJP Bochum GmbH,Axstraße 33,unknown_needs_review,0.5,No clear automatic rule matched.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bochum,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'kjp' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5120890,Bottrop,Knappschaftskrankenhaus,Plankrankenhaus,Knappschaftskrankenhaus Bottrop GmbH,Osterfelder Straße 157,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bottrop,Suggested by deterministic general/acute-care keyword: matched 'krankenhaus' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5120892,Bottrop,Marien-Hospital,Plankrankenhaus,Marienhospital Bottrop gGmbH,Josef-Albers-Straße 70,general_or_acute_care,1.0,General hospital / acute-care term detected.,general_or_acute_care,1.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bottrop,Suggested by deterministic general/acute-care keyword: matched 'marien hospital' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
5120893,Bottrop,Valeara Bottrop GmbH,Plankrankenhaus,Valeara Bottrop GmbH,Hochstr. 41,unknown_needs_review,0.5,No clear automatic rule matched.,psychiatric_psychosomatic,0.0,verified,mags_nrw_krankenhausplanung,https://www.mags.nrw/startseite/gesundheit/krankenhausplanung-nrw/planungsergebnisse/krankenhaeuser-und-angebote/bottrop,Suggested by deterministic psychiatric/psychosomatic keyword: matched 'valeara' in hospital/operator text. Human verification required before copying into verified_* fields.,,,,,,
9131330,Dortmund,Hüttenhospital Dortmund-Hörde,Plankrankenhaus,Hüttenhospital gGmbH,Am Marksbach 28,unknown_needs_review,0.5,No clear automatic rule matched.,specialized_or_partial_acute,0.5,verified,official_hospital_website,https://www.huettenhospital.de/organisation.html,"Manual verification 2026-06-03: official Hüttenhospital page describes a basic-care hospital focused on internal medicine, geriatrics, and intensive medicine with ICU capacity; acute but specialized, not full-spectrum general acute care.",,,,,,
